,reviewrating,reusefulcount,recoolcount,refunnycount,friendcount,fancount,tipcount,reviewcount,firstcount,usefulcount,coolcount,complimentcount,funnycount,busrating,buscateg,pricerange,monmembership,firstreview,maxReviewDay,avgReviewDay,avgpostedrating,avgreviewlen,polarity,subjective
0,4,2,0,4,30,3,0,78,1,80,59,30,214,4.0,1,1,10,0,6,1,3,964,0.19322344322344318,0.3783882783882783
1,5,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,2,0,0,1,1,5,1347,0.3958333333333333,0.7754629629629631
2,3,0,0,0,0,0,0,11,0,5,0,0,0,3.5,1,1,0,0,8,3,2,662,0.16734693877551018,0.3836734693877551
3,4,0,1,0,19,0,0,7,0,10,2,2,1,4.0,1,1,22,0,2,1,3,1424,0.11765873015873016,0.4498299319727891
4,2,0,0,0,0,0,0,3,0,2,0,0,1,4.0,1,1,0,0,2,1,2,648,0.12023809523809524,0.3178571428571429
5,1,0,0,0,0,0,0,2,0,0,0,0,0,4.0,1,2,7,0,2,2,1,1446,-0.13090277777777776,0.3607638888888889
6,3,8,4,0,53,4,59,131,30,818,279,34,309,3.5,0,2,3,0,7,2,3,812,0.05833333333333334,0.39954212454212445
7,4,0,0,0,4,0,0,11,0,0,0,0,0,4.5,1,1,2,0,4,2,3,744,0.35427489177489174,0.5281746031746032
8,4,0,0,0,4,0,0,3,0,0,0,0,0,4.0,1,1,17,0,1,1,4,188,0.19999999999999998,0.22500000000000003
9,5,0,0,0,0,0,0,1,0,0,0,0,0,4.0,0,2,13,0,1,1,5,642,0.53,0.585
10,5,1,0,0,7,0,0,29,1,10,3,1,3,4.0,1,2,6,0,6,1,3,314,0.3,0.1
11,5,1,1,0,26,7,0,107,1,180,76,19,35,3.5,0,2,43,0,7,2,4,1064,0.5194444444444445,0.6888888888888888
12,4,0,0,0,26,2,0,174,6,94,40,21,36,4.0,1,2,48,0,11,2,3,474,0.3314285714285714,0.3942857142857143
13,5,0,0,0,0,0,0,5,0,1,0,0,0,4.0,1,2,0,0,4,2,4,380,0.4000000000000001,0.4166666666666667
14,5,0,0,0,0,0,0,1,0,1,0,0,0,4.0,1,1,0,0,1,1,5,199,0.4666666666666666,0.5666666666666668
15,1,0,0,0,0,0,0,1,0,0,0,0,1,4.0,1,3,0,0,1,1,1,784,-0.1606060606060606,0.3924242424242424
16,2,0,0,0,0,0,0,2,0,0,0,0,0,4.0,1,2,0,0,2,2,3,788,-0.05816326530612244,0.34455782312925176
17,3,3,1,0,333,70,22,1209,61,1650,679,283,417,4.0,1,0,39,0,23,3,3,485,0.08530303030303032,0.6933333333333334
18,1,0,0,0,0,0,0,1,0,3,0,0,0,3.5,1,0,0,0,1,1,1,965,0.25,0.5505555555555555
19,5,0,0,0,0,0,0,6,0,2,0,0,2,4.0,1,1,0,0,5,3,4,223,0.1431818181818182,0.3
20,5,0,1,0,4,1,0,14,1,14,3,0,9,4.5,1,3,16,0,4,1,4,800,0.1305871212121212,0.49895833333333334
21,5,0,0,0,20,1,3,25,5,19,6,2,1,3.5,1,1,14,0,2,1,4,390,0.0625,0.45
22,1,0,0,0,5,0,0,3,0,4,0,0,0,4.0,1,1,18,0,2,1,3,1207,0.07395833333333333,0.45868055555555554
23,5,0,0,0,0,0,1,6,2,3,0,0,0,4.0,1,1,16,0,2,1,4,217,0.2,0.6
